author,paper_count,share
Min Zhang,60,0.8542141230068337
Qi Zhang,53,0.7545558086560364
Jie Zhou,48,0.683371298405467
Yang Liu,45,0.6406605922551253
Nanyun Peng,43,0.6121867881548975
Xuanjing Huang,43,0.6121867881548975
Kai-Wei Chang,42,0.5979498861047836
Heng Ji,41,0.5837129840546698
Jun Zhao,39,0.5552391799544418
Yue Zhang,38,0.541002277904328
Fei Huang,36,0.5125284738041003
Iryna Gurevych,36,0.5125284738041003
Yejin Choi,35,0.49829157175398636
Ryan Cotterell,34,0.48405466970387245
Zhiyuan Liu,34,0.48405466970387245
Kang Liu,34,0.48405466970387245
Xipeng Qiu,33,0.4698177676537585
Lei Li,32,0.45558086560364464
Bing Qin,31,0.4413439635535307
Maosong Sun,30,0.4271070615034169
Diyi Yang,29,0.41287015945330297
Minlie Huang,29,0.41287015945330297
Graham Neubig,28,0.3986332574031891
Luke Zettlemoyer,27,0.3843963553530752
Jingbo Shang,27,0.3843963553530752
Furu Wei,27,0.3843963553530752
Jiawei Han,27,0.3843963553530752
Muhao Chen,26,0.3701594533029613
Zhou Yu,26,0.3701594533029613
Dong Yu,26,0.3701594533029613
Rui Wang,26,0.3701594533029613
Ruifeng Xu,25,0.3559225512528474
Dongyan Zhao,25,0.3559225512528474
Shafiq Joty,25,0.3559225512528474
Chenguang Zhu,25,0.3559225512528474
Ivan Vulić,24,0.3416856492027335
Fandong Meng,24,0.3416856492027335
Mohit Bansal,24,0.3416856492027335
Qun Liu,24,0.3416856492027335
Tao Gui,24,0.3416856492027335
Hai Zhao,23,0.3274487471526196
Dan Roth,23,0.3274487471526196
Mrinmaya Sachan,23,0.3274487471526196
Yulia Tsvetkov,23,0.3274487471526196
Xiang Ren,23,0.3274487471526196
Ji-Rong Wen,22,0.31321184510250566
Juanzi Li,22,0.31321184510250566
Qifan Wang,22,0.31321184510250566
Yangqiu Song,22,0.31321184510250566
Yang Deng,22,0.31321184510250566
Lidong Bing,22,0.31321184510250566
Rada Mihalcea,22,0.31321184510250566
Hongming Zhang,21,0.2989749430523918
Caiming Xiong,21,0.2989749430523918
Noah A. Smith,21,0.2989749430523918
Hannaneh Hajishirzi,21,0.2989749430523918
Hua Wu,20,0.2847380410022779
Preslav Nakov,20,0.2847380410022779
Kam-Fai Wong,20,0.2847380410022779
Mohit Iyyer,20,0.2847380410022779
Benjamin Van Durme,20,0.2847380410022779
Shuming Shi,19,0.270501138952164
Jinsong Su,19,0.270501138952164
Lei Hou,19,0.270501138952164
Lemao Liu,19,0.270501138952164
Min Yang,19,0.270501138952164
Nan Duan,19,0.270501138952164
Yongbin Li,19,0.270501138952164
Anna Korhonen,19,0.270501138952164
Asif Ekbal,18,0.25626423690205014
William Yang Wang,18,0.25626423690205014
Xu Sun,18,0.25626423690205014
Xueqi Cheng,18,0.25626423690205014
Lu Wang,18,0.25626423690205014
Jimmy Lin,18,0.25626423690205014
Yang Feng,18,0.25626423690205014
Tat-Seng Chua,18,0.25626423690205014
Sebastian Ruder,18,0.25626423690205014
Wei Wang,18,0.25626423690205014
Jingang Wang,18,0.25626423690205014
Jian-Guang Lou,18,0.25626423690205014
Wai Lam,18,0.25626423690205014
Wei Xu,17,0.24202733485193623
Pushpak Bhattacharyya,17,0.24202733485193623
Danqi Chen,17,0.24202733485193623
Greg Durrett,17,0.24202733485193623
Xiao Liu,17,0.24202733485193623
Jinan Xu,17,0.24202733485193623
Seung-won Hwang,17,0.24202733485193623
Bin Liang,17,0.24202733485193623
Barbara Plank,17,0.24202733485193623
Yulan He,16,0.22779043280182232
Tanmoy Chakraborty,16,0.22779043280182232
Daxin Jiang,16,0.22779043280182232
Shujian Huang,16,0.22779043280182232
Ting Liu,16,0.22779043280182232
Deyi Xiong,16,0.22779043280182232
Cornelia Caragea,16,0.22779043280182232
Zihan Wang,16,0.22779043280182232
Peng Li,16,0.22779043280182232
Wei Wu,16,0.22779043280182232
Xin Zhao,16,0.22779043280182232
Tianyu Liu,16,0.22779043280182232
Zheng Zhang,16,0.22779043280182232
Jianfeng Gao,16,0.22779043280182232
Peter Clark,16,0.22779043280182232
Rui Yan,16,0.22779043280182232
Yubo Chen,16,0.22779043280182232
Chenghua Lin,16,0.22779043280182232
Yankai Lin,16,0.22779043280182232
Zhifang Sui,16,0.22779043280182232
Yoav Goldberg,16,0.22779043280182232
Yufeng Chen,15,0.21355353075170844
Christopher Manning,15,0.21355353075170844
Yu Zhang,15,0.21355353075170844
Shuohang Wang,15,0.21355353075170844
Julian McAuley,15,0.21355353075170844
Mor Geva,15,0.21355353075170844
Ido Dagan,15,0.21355353075170844
Dragomir Radev,15,0.21355353075170844
Ningyu Zhang,15,0.21355353075170844
Hinrich Schuetze,15,0.21355353075170844
Arman Cohan,15,0.21355353075170844
Wenjie Li,15,0.21355353075170844
Isabelle Augenstein,15,0.21355353075170844
Andreas Vlachos,15,0.21355353075170844
Qi Liu,15,0.21355353075170844
Kentaro Inui,15,0.21355353075170844
Weiran Xu,15,0.21355353075170844
Huajun Chen,14,0.19931662870159456
Xiaojun Wan,14,0.19931662870159456
Ivan Titov,14,0.19931662870159456
Yixin Cao,14,0.19931662870159456
Weiming Lu,14,0.19931662870159456
Sameer Singh,14,0.19931662870159456
Dongmei Zhang,14,0.19931662870159456
Min-Yen Kan,14,0.19931662870159456
Yan Zhang,14,0.19931662870159456
Chen Zhang,14,0.19931662870159456
Jing Li,14,0.19931662870159456
Zhihong Zhu,14,0.19931662870159456
Meng Jiang,14,0.19931662870159456
Juntao Li,14,0.19931662870159456
Wenhao Yu,14,0.19931662870159456
Nikolaos Aletras,14,0.19931662870159456
Jonathan May,14,0.19931662870159456
Chengyu Wang,14,0.19931662870159456
Yi Yang,13,0.18507972665148065
Bin Wang,13,0.18507972665148065
David Jurgens,13,0.18507972665148065
Shashank Srivastava,13,0.18507972665148065
Emma Strubell,13,0.18507972665148065
Pengfei Cao,13,0.18507972665148065
Snigdha Chaturvedi,13,0.18507972665148065
Fei Wu,13,0.18507972665148065
Xuebo Liu,13,0.18507972665148065
Haoran Li,13,0.18507972665148065
Lizi Liao,13,0.18507972665148065
Faeze Brahman,13,0.18507972665148065
Jonathan Berant,13,0.18507972665148065
Chitta Baral,13,0.18507972665148065
Liang Ding,13,0.18507972665148065
Xin Liu,13,0.18507972665148065
Antoine Bosselut,13,0.18507972665148065
Franck Dernoncourt,13,0.18507972665148065
Marine Carpuat,13,0.18507972665148065
Bing Liu,13,0.18507972665148065
Maarten Sap,13,0.18507972665148065
Xing Xie,13,0.18507972665148065
Soujanya Poria,13,0.18507972665148065
Jordan Boyd-Graber,13,0.18507972665148065
Weizhu Chen,13,0.18507972665148065
Pengfei Liu,13,0.18507972665148065
Xiaodan Zhu,13,0.18507972665148065
Mehdi Rezagholizadeh,13,0.18507972665148065
Tong Zhang,13,0.18507972665148065
Anh Tuan Luu,13,0.18507972665148065
Pawan Goyal,12,0.17084282460136674
Meng Fang,12,0.17084282460136674
Hao Zhang,12,0.17084282460136674
Jiajun Chen,12,0.17084282460136674
Junyi Jessy Li,12,0.17084282460136674
Xiaojun Quan,12,0.17084282460136674
Hao Yang,12,0.17084282460136674
Eduardo Blanco,12,0.17084282460136674
Anders Søgaard,12,0.17084282460136674
Pengjun Xie,12,0.17084282460136674
Qipeng Guo,12,0.17084282460136674
Wei Lu,12,0.17084282460136674
Chao Zhang,12,0.17084282460136674
Minghui Qiu,12,0.17084282460136674
Boxing Chen,12,0.17084282460136674
Tiago Pimentel,12,0.17084282460136674
Xin Jiang,12,0.17084282460136674
Yunbo Cao,12,0.17084282460136674
Trevor Cohn,12,0.17084282460136674
Sujian Li,12,0.17084282460136674
Joyce Chai,12,0.17084282460136674
Xiaoli Li,12,0.17084282460136674
Yuanbin Wu,12,0.17084282460136674
