fine_topics,year,paper_count
3D hand normalization,2023,1
3D point cloud classification,2024,1
AI safety,2024,1
AI-generated text detection,2023,1
AMR parsing,2021,1
AMR parsing,2023,1
API schema usage,2024,1
ASR,2023,1
ASR adaptation,2021,1
ASR adaptation,2023,1
ASR domain adaptation,2024,1
ASR error correction,2021,1
ASR error correction,2023,1
ASR error detection,2022,1
ASR integration,2022,1
ASR test-time adaptation,2024,1
ASR training with pseudo-labels,2024,1
ASR/multidialectal speech recognition,2024,1
ASR/self-supervised speech representation,2024,1
ASR/speaker adaptation,2021,1
ASR/speech recognition,2021,8
ASR/speech recognition,2022,12
ASR/speech recognition,2023,24
ASR/speech recognition,2024,26
AST-based learning,2023,1
Arabic NLP,2021,1
Arabic NLP,2023,1
Arabic NLP,2024,1
BERT,2021,2
BERT,2023,1
BERT integration,2021,1
BIO tagging,2023,1
Bayesian inference,2023,1
Bayesian methods,2023,1
Bayesian methods,2024,1
Bayesian modeling,2022,2
Bayesian modeling,2023,1
Bayesian neural networks,2023,1
Bayesian optimization,2021,1
Bayesian optimization,2024,1
Beta distribution,2021,1
BiLSTM,2021,1
CNN architectures,2021,1
Chinese NLP,2022,1
Chinese NLP,2023,2
Chinese NLP,2024,1
EEG analysis,2023,1
EHR processing,2023,1
GANs,2021,1
GNN integration,2024,1
HTR/handwritten text recognition,2023,1
Huffman tree,2023,1
KV-cache/attention optimizations,2024,4
LLM alignment,2024,2
LLM applications,2024,1
LLM compression,2024,1
LLM conditioning,2024,1
LLM distillation,2024,1
LLM evaluation,2023,1
LLM evaluation,2024,1
LLM hidden states,2024,1
LLM methods,2024,1
LLM prompting,2024,1
LLM quantization,2024,1
LLMs,2024,5
LLMs & Methods,2023,4
LLMs & Methods,2024,3
LLMs and methods,2024,1
LLMs assessment,2023,1
LLMs evaluation,2023,1
LLMs evaluation,2024,1
LLMs for annotation,2024,1
LLMs for information extraction,2024,1
LoRA,2024,1
MCQ reasoning,2021,7
MCQ reasoning,2022,5
MCQ reasoning,2023,54
MCQ reasoning,2024,78
MLP modules,2023,1
MLP-based prediction,2023,1
